"orgUnit","period","csb","net_p2","wealth_index","imp_water","imp_latrine","edu_prim","rotavirus","kitchen_outside","reimbursement","staff_support","chw_support","month_since_llin","build_density","twi_rice","elevation","stream_dist","csb_dist","fete_nationale","winter_season","summer_season","csb_type"
"FGM6Ric1YnC","201501","CSB2 AMBIABE",0.356771784864806,2.43447192412665,0.115530238396841,0.406718398245395,0.687511094708464,0.0482556654492486,0.157722920011693,0,0,0,29,6.66666666666667,8.62781498539158,478.633838667893,479.754699976328,7614.98976959998,0,0,1,"CSB2"
"mBZLeZ7Irx6","201501","CSB2 AMBOHIMANGA DU SUD",0.368943265918112,3.23248898062871,0.0514045862917382,0.662093973901802,0.714911275662619,0.0463158874798954,0.135166878280826,0,0,0,29,15.5833333333333,8.91865938259513,604.497957019039,716.922308574769,6791.06458073887,0,0,1,"CSB2"
"WCqkkkKNJEi","201501","CSB1 AMBODIMANGA NORD",0.386572585000528,3.35707381226746,0.0224611594920439,0.540958500147827,0.780849969409126,0.0468022887543335,0.138000353488159,0,0,0,29,41.8,8.76458322412341,633.140762339765,842.527681989319,4690.9316352139,0,0,1,"CSB1"
"YCvVB1VwWi0","201501","CSB1 MAROMANANA",0.358006534103172,3.02638435150936,0.0505983576481357,0.572218858850026,0.668961486847772,0.0466814666064735,0.131142277924279,0,0,0,29,23.8333333333333,8.66868091498134,660.492688197135,488.269052494937,6847.86395484976,0,0,1,"CSB1"
"D9UWDj19ljP","201501","CSB2 AMBOHIMIERA",0.353469292135353,2.68220599026794,0.0625071355140666,0.464944438885672,0.658093344623675,0.0461373541006392,0.122250819683656,0,0,0,29,17.1,8.87465936304293,698.679298569867,478.925876921912,8729.68057341825,0,0,1,"CSB2"
"U1YeJp3NDNV","201501","CSB2 AMPASINAMBO",0.420748907846092,3.43854782747483,0.0154463568880852,0.646286539022478,0.778537363258456,0.0477105384109543,0.0771687901567096,0,0,0,29,17.0625,8.92575938484654,730.761661338889,203.822223446096,8342.15659201675,0,0,1,"CSB2"
"hXuxS0MOq3b","201501","CSB2 ANALAMPASINA",0.360477487736086,3.49811789974502,0.0486901705742094,0.663995786521689,0.747394485604187,0.0443915424675987,0.140040793328637,0,0,0,29,24.6666666666667,8.98905143231129,662.37689392944,605.13203730064,5453.02643937896,0,0,1,"CSB2"
"z6kDxHwInUT","201501","CSB2 ANDRORANGAVOLA",0.336325319733653,2.10358889154855,0.0740589969526156,0.265685898345958,0.652093730242137,0.0472945420713612,0.156104001994935,0,0,0,29,6.79166666666667,8.86363732219183,327.984808628016,319.09124899632,7779.9593422556,0,0,1,"CSB2"
"h0z1bKoHDrU","201501","CSB1 MAHASOA",0.353137638065509,2.12139026208513,0.114415097227948,0.16439952131439,0.705227842664379,0.0473414339762905,0.139708493568829,0,0,0,29,6.5,8.36080299441302,224.054043264245,408.092945672335,4027.49597247663,0,0,1,"CSB1"
"okDqhh9n4yT","201501","CSB2 ANTARETRA",0.364779218516188,2.5859945328822,0.154052386781133,0.475930533403962,0.763621475787122,0.0452657111144373,0.193687006756518,0,0,0,29,9.8,8.80376414355619,242.813149331428,288.635125946739,8094.93261124589,0,0,1,"CSB2"
